,time,BTCUSDT,ETHUSDT,BNBUSDT,SOLUSDT,XRPUSDT,DOGEUSDT,TONUSDT,ADAUSDT,SHIBUSDT,AVAXUSDT,TRXUSDT,LINKUSDT,UNIUSDT,DOTUSDT,BCHUSDT,NEARUSDT,LTCUSDT,MATICUSDT,PEPEUSDT,ICPUSDT,KASUSDT,FETUSDT,ETCUSDT,APTUSDT,RNDRUSDT,HBARUSDT,FILUSDT,STXUSDT,XLMUSDT,ARBUSDT,IMXUSDT,INJUSDT,WIFUSDT,SUIUSDT,GRTUSDT
0,2024-03-21 04:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2024-03-21 05:00:00,0.004451478880205695,0.004374045233749735,-0.0001818181818181719,0.0038183537874099116,-0.00397100016477181,-0.0023835997682980503,-0.01849250936329605,-0.0005532809560694352,-0.002200014915355375,-0.0028348173723423686,-0.0045289855072464524,-0.0038425646374266043,0.0023399475851739737,-0.001601879538658757,0.02560248266498566,-0.008218768679019828,-0.005050505050505083,0.0017145738779626996,0.009609572565225655,0.007432432432432412,,0.003873908089631728,-0.0008952551477170445,-0.0015834267994986329,0.005009054135622915,-0.006059509812788355,0.006949191159717483,-0.013232626602039832,0.0033833141099577357,-0.006429022444176535,-0.004656417981990679,0.0006478194397656623,0.0164704903714179,0.003684743628350251,-0.0028667963550732534
2,2024-03-21 06:00:00,-0.0007207191075615516,-0.0008772654383051304,-0.0014184397163120588,0.007495563785259618,0.0011414580886368597,0.010798545066239562,-0.005246839971380757,-0.00248323421485519,0.0012706005456109004,-0.0023508401064257223,-0.001240797419141293,-0.0009367939604342235,0.009626567288347099,-0.004385495774949177,-0.008510235922651321,0.00037667620913062194,-0.002479046157478404,-0.0001006846556584895,-0.006426860857240646,0.00016767270288386982,,-0.0051074455205811775,-0.002223549714589157,-0.001321615013546551,-0.0018466227421450876,-0.0002729754322111644,0.0046385337707886,-0.009944551591128281,-0.005670932638516257,0.0014443353168871464,-0.007430084964397454,-0.004531800290035193,0.0027824379066245797,0.006382351978529099,-0.0069308963959339165
3,2024-03-21 07:00:00,0.00016873705540376704,0.0028450637573655957,0.0010926573426572883,-0.010306345870848888,-0.0006774843848111889,0.015509762104415126,-0.004315511867657773,0.0009355130258297262,0.004329489045646229,-0.004365695497305588,0.0004141129700181434,0.0010479867622725791,-0.003186668124069869,0.003437902879243726,0.02529683849124975,0.000753068755177333,0.004970414201183493,-0.0031215386164534786,0.0005779778154897386,0.004358759430008297,,-0.0011408145415827686,0.004357226010311077,0.005028783166810102,-0.0030624433088757286,0.00391371621006642,0.00754504504504494,0.02097157119376636,0.0026204238921001544,0.004557517018576318,0.0031536995321435057,-0.0035639031242683528,-0.009262659648263782,0.004227917262911385,0.00462699684640433
4,2024-03-21 08:00:00,0.004593949781574791,0.014935428576301701,0.005839336389434457,-0.0018771973549547294,0.005655042412818112,-0.0020480878011988057,-0.005538165181796173,0.007001869277318384,0.007655431268349,0.006861629912303213,0.0014901895852306168,0.006722133450878909,0.011285996254871256,0.00942184154175596,-0.00025579610724824065,0.0016555045526376322,0.008125294394724314,0.006464646464646506,0.014318195784428056,0.009096978801535593,,0.014048045075570226,0.009968207709630361,0.01869774178681949,0.002198039780916705,0.014415231187669963,0.00860623672739469,-0.0039054348150134865,0.005073410715658255,0.024119910411761314,0.002418296137635556,0.006135129490392632,0.009431630971993288,-0.008344668264352206,0.004785796989579483
5,2024-03-21 09:00:00,-0.006604534895990555,-0.009116753259484245,0.012117266200061483,-0.0017080621596492485,0.010917640868807421,-0.010150696801683567,-0.005811138014527817,-0.0034923231814749656,-0.0034667158399409592,-0.002295918367346994,0.00421592130280235,-0.00366701329976471,-0.00018349848196708152,-0.006470089096308862,0.003465761071827389,-0.008338967771016503,-0.005606821632986869,-0.0009032517061420275,-0.0032594208166727423,0.007774377636258434,,0.008935275566901879,-0.006820342984555805,-0.012020939701415378,-0.004278574767195176,0.0031280722137814188,0.014406028368794344,0.008440081407877331,0.002753346080305974,-0.013906801996299123,-0.003170664460987127,0.0022315057474247,-0.011057162674935728,0.008899315269809804,-0.0014084146372693729
6,2024-03-21 10:00:00,0.0018910067965538513,0.0015037593984961184,0.014384504047316948,0.0075368473711239226,0.004147487923491067,-0.0009280650830322257,0.010472479298587523,0.004656963344173315,0.001110247585211388,0.0032691675494027628,0.0019756338491931924,0.004559437486266749,0.007341286393592883,0.008433863563574118,-9.27192230129048e-05,0.0019696969696971767,0.0002349348055916689,0.00421898543445498,-0.008789098114537985,0.009109560935576466,,-0.007367716008037317,0.004490078906533634,0.0015045463465690467,0.006698201776557999,0.0009800427655024535,0.006772995411841842,0.0012465127322371927,0.008923804439020744,-0.002160932613022526,0.0037684967501039335,-0.0011650485436893732,-0.0011964683554748223,0.0137140760802128,0.005692891578623405
7,2024-03-21 11:00:00,0.0010736294798645574,-0.003130009708956938,-0.017016629086809454,0.0003195652644705227,0.0009556513006576672,-0.001152923814794371,-0.00385635092793446,-0.004729655410820155,0.0007393442016931928,0.0018386033895836373,-0.0005750903713440669,-0.002187346202220164,-0.001242236024844634,-0.005504975651069222,-0.0007650045204812272,-0.008165734159987892,0.0027011156782148493,-0.0013003901170351995,-0.003789644092325073,0.005204944697462688,,-0.006222822012295848,-0.001446179129005798,-0.01672109732201177,-0.005685180867662565,-0.012105028927458794,-0.013780381944444309,0.002727057149632506,-0.0030994859389176233,-0.002222602154214437,-0.0026521544449420453,-0.005002592016588814,-0.004461150811681636,-0.008674873203156963,-0.007190575756030326
8,2024-03-21 12:00:00,0.0032114676093735195,0.0029246637202968717,0.002275904089459102,0.0022219851916935873,-0.002524394388077056,0.009141696292534363,0.008952334865715006,-0.002273444900536825,0.0043589080565920035,-0.0013809644946760624,-0.0019728729963007785,-0.0006028388228201953,-0.0012852404643450832,-0.002874175005322499,-0.0031319599109131957,0.010367434060070124,-0.003982197235886553,0.00040064102564119075,-0.0002339066097082343,-0.003883495145631022,,0.0004526593738212181,0.0021065797702510825,-0.000929985385944021,-0.005140507196710109,0.002612848004324597,-0.006931455605677206,0.010050845453470458,-0.0016683096989459356,0.002684487091615395,0.0010015195468986438,-0.0010680699195041443,-0.01896186880212447,-0.008235401489243954,-0.0036470104787342805
9,2024-03-21 13:00:00,-0.00775689414969305,-0.005922605268803838,-0.0004469952976094982,-0.012159050795306547,0.008257490955695168,-0.00373858652670922,0.00023980815347734996,-0.0004905373757831955,-0.009636249954025455,-0.009807489355507903,-0.0012354830738818823,0.009925422241719772,-0.004059944372950319,-0.007046012597416551,-0.01577881728688113,0.0025652633167345673,0.004821260583254938,-0.002102523027633141,-0.0008989040758528022,-0.004385964912280715,,-0.007955659452530073,-0.004368533420922915,0.000598404255319096,0.0007161375709339168,-0.0010783608914450848,-0.004542432971415988,-0.027657457269960162,-0.0003038359285983949,-0.001424095699231076,0.003622563394859446,-0.005293902884264234,-0.006851632549483955,0.017360002165263788,-0.006521627055730339
