,time,BTCUSDT,ETHUSDT,SOLUSDT,BCHUSDT,XRPUSDT,LTCUSDT,ADAUSDT,LINKUSDT,DOGEUSDT,WIFUSDT,MATICUSDT,UNIUSDT,AAVEUSDT,DYDXUSDT,CRVUSDT,z_score_BTCUSDT,z_score_ETHUSDT,z_score_SOLUSDT,z_score_BCHUSDT,z_score_XRPUSDT,z_score_LTCUSDT,z_score_ADAUSDT,z_score_LINKUSDT,z_score_DOGEUSDT,z_score_WIFUSDT,z_score_MATICUSDT,z_score_UNIUSDT,z_score_AAVEUSDT,z_score_DYDXUSDT,z_score_CRVUSDT
25,2024-03-19 12:00:00,63637.5,3296.73,183.2565,372.19,0.59675,80.51,0.62212,17.564,0.131549,2.4493,0.9522,11.028,113.964,3.158,0.6119,,,,,,,,,,,,,,,
26,2024-03-19 13:00:00,63583.8,3293.47,181.8777,371.1,0.59721,80.04,0.61876,17.743,0.131129,2.4453,0.9511,10.9451,112.823,3.151,0.6128,,,,,,,,,,,,,,,
27,2024-03-19 14:00:00,62912.3,3260.18,179.3267,370.2,0.59591,79.91,0.61757,17.511,0.13116,2.4555,0.9484,10.91,112.945,3.166,0.6163,,,,,,,,,,,,,,,
28,2024-03-19 15:00:00,64068.1,3303.81,183.1204,373.55,0.60582,81.42,0.62704,17.781,0.134359,2.6517,0.9692,11.1329,115.66,3.231,0.6304,,,,,,,,,,,,,,,
29,2024-03-19 16:00:00,64991.3,3329.71,184.3407,377.03,0.60785,81.5,0.62411,17.858,0.134457,2.609,0.9664,11.201,116.0,3.231,0.6331,,,,,,,,,,,,,,,
30,2024-03-19 17:00:00,64882.9,3315.24,183.6708,377.16,0.60446,81.72,0.62226,17.822,0.13427,2.5865,0.9661,11.2387,115.974,3.258,0.6331,,,,,,,,,,,,,,,
31,2024-03-19 18:00:00,64715.0,3316.9,181.6803,376.0,0.6058,81.26,0.61437,17.648,0.133739,2.5522,0.9644,11.1975,115.632,3.249,0.6313,,,,,,,,,,,,,,,
32,2024-03-19 19:00:00,64402.1,3334.31,181.7526,377.37,0.60695,81.47,0.61615,17.611,0.134408,2.5051,0.9689,11.2342,115.812,3.26,0.6335,,,,,,,,,,,,,,,
33,2024-03-19 20:00:00,63783.0,3280.01,175.3085,371.55,0.60194,80.1,0.60393,17.319,0.132025,2.3831,0.9499,10.989,113.378,3.189,0.6192,,,,,,,,,,,,,,,
34,2024-03-19 21:00:00,63967.7,3291.88,173.0034,372.37,0.60089,80.17,0.60585,17.334,0.132377,2.3505,0.958,11.0188,113.725,3.184,0.6205,,,,,,,,,,,,,,,
35,2024-03-19 22:00:00,62653.9,3212.0,169.5638,360.77,0.58614,78.46,0.58917,16.931,0.129442,2.2417,0.9323,10.6872,109.579,3.085,0.6009,,,,,,,,,,,,,,,
36,2024-03-19 23:00:00,61950.2,3159.22,170.0546,358.45,0.58464,78.43,0.58713,16.822,0.128803,2.3175,0.9327,10.6214,109.356,3.105,0.6035,,,,,,,,,,,,,,,
37,2024-03-20 00:00:00,63260.4,3236.48,176.1794,367.05,0.5922,80.06,0.60021,17.225,0.131442,2.3739,0.9534,10.9721,112.208,3.161,0.6223,,,,,,,,,,,,,,,
38,2024-03-20 01:00:00,62404.0,3175.76,171.6784,357.57,0.58433,79.12,0.58926,16.86,0.126583,2.2271,0.9389,10.6971,108.845,3.089,0.6054,,,,,,,,,,,,,,,
39,2024-03-20 02:00:00,62907.1,3225.56,174.0818,364.96,0.59097,80.06,0.5988,17.132,0.129927,2.3181,0.9563,10.9416,111.946,3.162,0.6213,,,,,,,,,,,,,,,
40,2024-03-20 03:00:00,61849.8,3160.07,169.9151,357.89,0.58347,78.89,0.58952,16.852,0.127494,2.2426,0.9383,10.725,109.619,3.1,0.6135,,,,,,,,,,,,,,,
41,2024-03-20 04:00:00,61649.9,3128.07,167.6108,355.58,0.57876,79.02,0.58517,16.735,0.126265,2.122,0.9349,10.5818,108.145,3.071,0.6061,,,,,,,,,,,,,,,
42,2024-03-20 05:00:00,61556.8,3110.18,166.2356,353.93,0.57909,78.24,0.58003,16.561,0.124707,2.0232,0.9326,10.5539,107.051,3.076,0.6063,,,,,,,,,,,,,,,
43,2024-03-20 06:00:00,61758.2,3140.97,167.8908,356.83,0.58404,79.55,0.59226,16.872,0.12731,2.0562,0.957,10.7704,109.995,3.129,0.6193,,,,,,,,,,,,,,,
44,2024-03-20 07:00:00,62964.1,3219.22,173.4017,367.04,0.5949,81.28,0.61042,17.33,0.133434,2.242,0.9693,11.096,112.875,3.224,0.6337,,,,,,,,,,,,,,,
45,2024-03-20 08:00:00,62713.5,3208.83,170.9244,362.6,0.59067,80.88,0.60223,17.082,0.132221,2.1936,0.9614,10.955,111.441,3.2,0.6235,,,,,,,,,,,,,,,
46,2024-03-20 09:00:00,63227.4,3235.76,171.5028,366.12,0.59233,81.13,0.60557,17.179,0.133828,2.2025,0.966,11.0379,112.286,3.256,0.6317,,,,,,,,,,,,,,,
47,2024-03-20 10:00:00,63058.7,3232.38,171.8408,365.4,0.59522,80.88,0.60489,17.177,0.133095,2.1854,0.9644,11.036,111.949,3.256,0.6322,,,,,,,,,,,,,,,
48,2024-03-20 11:00:00,63400.3,3294.19,172.5135,370.56,0.59658,81.35,0.61178,17.417,0.134527,2.1831,0.9657,11.1997,113.131,3.277,0.6406,,,,,,,,,,,,,,,
49,2024-03-20 12:00:00,64061.1,3356.04,175.2637,372.83,0.59812,82.09,0.61463,17.635,0.135131,2.0857,0.9728,11.29,114.542,3.287,0.642,,,,,,,,,,,,,,,
50,2024-03-20 13:00:00,63593.3,3346.57,172.2097,371.23,0.594,81.52,0.6074,17.495,0.133633,2.0839,0.9636,11.175,113.142,3.25,0.6362,,,,,,,,,,,,,,,
51,2024-03-20 13:00:00,63593.3,3346.57,172.2097,371.23,0.594,81.52,0.6074,17.495,0.133633,2.0839,0.9636,11.175,113.142,3.25,0.6362,,,,,,,,,,,,,,,
