To Dimension,Measure,Rank2,Rank,t,From Dimension
Saskatchewan,1203,12,11,0,Quebec
Yukon,339,13,11,0,Quebec
Alberta,30969,1,12,0,Saskatchewan
British Columbia,14588,2,12,0,Saskatchewan
Manitoba,4199,3,12,0,Saskatchewan
New Brunswick,640,4,12,0,Saskatchewan
Newfoundland and Labrador,280,5,12,0,Saskatchewan
Northwest Territories,160,6,12,0,Saskatchewan
Nova Scotia,1091,7,12,0,Saskatchewan
Nunavut,126,8,12,0,Saskatchewan
Ontario,15075,9,12,0,Saskatchewan
Prince Edward Island,203,10,12,0,Saskatchewan
Quebec,1201,11,12,0,Saskatchewan
Saskatchewan,0,12,12,0,Saskatchewan
Yukon,229,13,12,0,Saskatchewan
Alberta,1111,1,13,0,Yukon
British Columbia,1711,2,13,0,Yukon
Manitoba,80,3,13,0,Yukon
New Brunswick,115,4,13,0,Yukon
Newfoundland and Labrador,57,5,13,0,Yukon
Northwest Territories,187,6,13,0,Yukon
Nova Scotia,202,7,13,0,Yukon
Nunavut,34,8,13,0,Yukon
Ontario,731,9,13,0,Yukon
Prince Edward Island,33,10,13,0,Yukon
Quebec,233,11,13,0,Yukon
Saskatchewan,210,12,13,0,Yukon
Yukon,0,13,13,0,Yukon
